Population,unemployment_lvl,salary,migration_rate,region,country
770673,4.2,39537.9,-45.4,Республика Мордовия,Россия
992115,6.9,96728.3,-37.9,Республика Саха (Якутия),Россия
688124,12.1,36359.9,-65.41,Республика Северная Осетия — Алания,Россия
3886395,3.3,52274.1,24.2,Республика Татарстан,Россия
332609,12.3,51781.7,-61.2,Республика Тыва,Россия
528338,6.0,54522.3,-12.7,Республика Хакасия,Россия
4153763,4.8,44767.4,-0.5,Ростовская область,Россия
1085152,3.9,45769.7,9.0,Рязанская область,Россия
3131720,3.9,48874.0,-5.8,Самарская область,Россия
5377503,1.4,86629.8,11.7,Санкт-Петербург,Россия
2360959,4.3,42916.6,-32.71,Саратовская область,Россия
484177,5.2,102683.8,-87.0,Сахалинская область,Россия
4264340,4.2,55307.6,-12.1,Свердловская область,Россия
522057,3.9,43112.3,236.7,Севастополь,Россия
909856,5.2,41716.5,-51.6,Смоленская область,Россия
2780204,4.8,41401.8,-9.9,Ставропольский край,Россия
980984,3.9,39345.7,-33.0,Тамбовская область,Россия
1230190,4.0,45732.2,-15.6,Тверская область,Россия
1068304,5.5,57879.0,-62.0,Томская область,Россия
1432570,3.8,51217.8,-0.2,Тульская область,Россия
3806505,3.0,94961.9,29.0,Тюменская область,Россия
1484460,4.3,45811.4,-8.5,Удмуртская Республика,Россия
1203969,3.8,41523.1,-14.7,Ульяновская область,Россия
1298978,3.8,65896.6,-23.2,Хабаровский край,Россия
1702240,2.5,97562.0,50.4,Ханты-Мансийский автономный округ,Россия
3418606,5.1,50104.4,0.05,Челябинская область,Россия
1516387,13.5,33699.9,-37.5,Чеченская Республика,Россия
1198429,4.7,41527.0,-42.6,Чувашская Республика,Россия
50040,3.8,140601.5,-17.5,Чукотский автономный округ,Россия
1227383,5.4,47388.3,-7.1,Ярославская область,Россия
